"X","id","priceLabel","name","brandId","brandName","imageLink","desc","vendor","striped","material"
168,462481646,60,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/dd/57/dd57d7b6713cced7484c02ef5b3fdfdd_best.jpg","Men's red, tan and multicolor Hermès silk necktie with logging motif.","TheRealReal","unknown","_silk"
169,462633357,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/62/ef/62efd5f6d1006a4d4977b7c14fcc35f2_best.jpg","Men's light pink, light blue and light yellow Hermès silk necktie with H motif.","TheRealReal","unknown","_silk"
175,462309730,160.73,"Hermès Vintage ship print tie",1274,"Hermes","http://bim.shopstyle.com/pim/bd/fb/bdfbeefca9f524f486c16a093a36b13f_best.jpg","Red silk ship print tie from Hermès Vintage circa 1990 featuring a pointed tip and a front logo patch to the rear. Please note that vintage items are not new and therefore might have minor imperfections.","farfetch.com","_print","_silk"
178,444128493,124.19,"Hermès Vintage patterned tie",1274,"Hermes","http://bim.shopstyle.com/pim/a3/e0/a3e0b16a073aa0c4493273417186c1a9_best.jpg","Red and white silk patterned tie from Hermès Vintage featuring a pointed tip and a printed logo. This item is true to fit.","farfetch.com","_print","_silk"
243,461789541,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/3c/69/3c69896e1b095d9da94f1be844fb9180_best.jpg","Men's crimson Hermès silk print tie.","TheRealReal","_print","_silk"
244,462481327,75,"Hermès Silk Tie",1274,"Hermes","http://bim.shopstyle.com/pim/e3/6d/e36d2940d24acf53722c4f9966dd4857_best.jpg","Men's brown and multicolor Hermès silk tie with drum motif.","TheRealReal","unknown","_silk"
249,461792841,95,"Hermès Silk Tie",1274,"Hermes","http://bim.shopstyle.com/pim/42/49/424970ad763cbc4d70a2a0af49c44ed9_best.jpg","Men's green and red Hermès silk tie with horse motif and logo at end.","TheRealReal","unknown","_silk"
250,462636745,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/a9/69/a96973317bdbecdd34ccce982a591663_best.jpg","Men's red and multicolor Hermès silk necktie with harvest motif.","TheRealReal","unknown","_silk"
252,464745979,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/8a/53/8a536ba2f93a01c06213674a7ccd2b19_best.jpg","Men's dark pink, grey and black Hermès silk necktie with chain design.","TheRealReal","unknown","_silk"
254,465343900,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/39/f3/39f3fd5012ccfcaee70eca2da89ffbb2_best.jpg","Men's light pink Hermès silk horse print tie.","TheRealReal","_print","_silk"
262,365159923,239.69,"Hermès Vintage checked tie",1274,"Hermes","http://bim.shopstyle.com/pim/3e/7f/3e7f5be473ce0b3f05099e0b6e5703cc_best.jpg","1980's black silk tie from Hermès featuring a monochrome checked design and a logo patch. Please note that vintage items are not new but often between 20 and 50 years old, and therefore will always have minor imperfections, even when the items have been used and worn with love and care.","farfetch.com","unknown","_silk"
269,461282675,101.8,"Hermès Vintage purple patterned tie",1274,"Hermes","http://bim.shopstyle.com/pim/f5/73/f57334c615fafa03d587cca739463d26_best.jpg","Purple silk purple patterned 90s tie from Hermès Vintage featuring a pointed tip and a branded rear patch. Please note that vintage items are not new and therefore might have minor imperfections.","farfetch.com","unknown","_silk"
